23.01.2018 14:49:47 (ERROR): Main() if (hasAdministrativeRight != false)
23.01.2018 15:07:38 (ERROR): Main() if (hasAdministrativeRight != false)
23.01.2018 15:08:12 (ERROR): Main() if (hasAdministrativeRight != false)
23.01.2018 15:09:37 (ERROR): Main() if (hasAdministrativeRight != false)
23.01.2018 15:10:06 (INFO): Получили запрос: {"command":"Hello","parameters":["Bad"]}
23.01.2018 15:10:06 (INFO): WorkWithResponse() команда: Command:Hello Parameters: Bad, .
23.01.2018 15:10:06 (INFO): Получили запрос: {"command":"GetListClients","parameters":["requires more authority"]}
23.01.2018 15:10:06 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: requires more authority, .
23.01.2018 15:10:09 (INFO): Получили запрос: {"command":"Hello","parameters":["Ok"]}
23.01.2018 15:10:09 (INFO): WorkWithResponse() команда: Command:Hello Parameters: Ok, .
23.01.2018 15:10:09 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:10:09 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:10:14 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:10:14 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:10:18 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:10:18 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:10:23 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:10:23 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:10:27 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:10:27 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:10:32 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:10:32 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:10:36 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:10:36 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:10:41 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:10:41 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:10:45 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:10:45 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:10:50 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:10:50 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:10:54 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:10:54 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:10:59 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:10:59 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:03 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:03 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:08 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:08 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:12 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:12 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:17 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:17 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:21 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:21 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:26 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:26 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:30 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:30 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:35 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:35 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:39 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:39 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:44 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:44 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:48 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:48 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:53 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:53 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:11:57 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:11:57 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:02 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:02 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:06 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:06 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:11 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:11 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:15 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:15 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:20 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:20 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:24 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:24 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:29 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:29 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:33 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:33 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:38 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:38 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:42 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:42 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:47 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:47 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:51 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:51 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:12:56 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:12:56 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:13:00 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:13:01 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:13:05 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:13:05 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:13:10 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:13:10 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:13:14 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:13:14 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:13:19 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:13:19 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:13:23 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:13:23 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:13:28 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:13:28 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:13:32 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:13:32 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:13:37 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:13:37 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:13:41 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:13:41 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:13:46 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[]"]}
23.01.2018 15:13:46 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: [], .
23.01.2018 15:13:50 (INFO): Получили запрос: {"command":"Find","parameters":["yes","144"]}
23.01.2018 15:13:50 (INFO): WorkWithResponse() команда: Command:Find Parameters: yes, 144, .
23.01.2018 15:13:50 (INFO): Получили запрос: {"command":"GetSystemInfo","parameters":["Майкрософт Windows 10 Pro","Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz","8192 МБ","0A0027000006","144"]}
23.01.2018 15:13:50 (INFO): WorkWithResponse() команда: Command:GetSystemInfo Parameters: Майкрософт Windows 10 Pro, Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz, 8192 МБ, 0A0027000006, 144, .
23.01.2018 15:13:51 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:13:51 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:13:51 (INFO): Получили запрос: {"command":"GetSystemInfo","parameters":["Майкрософт Windows 10 Pro","Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz","8192 МБ","0A0027000006","144"]}
23.01.2018 15:13:51 (INFO): WorkWithResponse() команда: Command:GetSystemInfo Parameters: Майкрософт Windows 10 Pro, Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz, 8192 МБ, 0A0027000006, 144, .
23.01.2018 15:13:51 (INFO): Получили запрос: {"command":"GetSystemInfo","parameters":["Майкрософт Windows 10 Pro","Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz","8192 МБ","0A0027000006","144"]}
